id,re_x,re_y
IS481_RS00460,1643.0,1186.25
IS481_RS00465,1519.0,1429.83
IS481_RS00470,4066.5,3392.83
IS481_RS00475,2613.0,1828.17
IS481_RS00480,1997.33,1787.33
IS481_RS00485,3311.83,4404.17
IS481_RS00490,924.0,967.0
IS481_RS00495,3355.33,10531.5
IS481_RS00500,727.5,5563.5
IS481_RS00505,417.0,904.0
IS481_RS00510,1205.0,2292.0
IS481_RS00515,1448.5,5794.67
IS481_RS00520,2156.5,4460.33
IS481_RS00525,446.5,611.83
IS481_RS00530,303.2,516.17
IS481_RS00535,773.83,1305.0
IS481_RS00540,287.33,409.33
IS481_RS00545,653.75,1109.75
IS481_RS00550,354.33,366.5
IS481_RS00555,1091.5,2166.0
IS481_RS00560,2120.33,2494.0
IS481_RS00565,700.5,620.83
IS481_RS00570,2391.0,1198.33
IS481_RS00575,2414.33,1287.5
IS481_RS00580,5235.0,2991.17
IS481_RS00585,1813.33,1347.33
IS481_RS00590,4425.33,3081.17
IS481_RS00595,5931.17,6178.17
IS481_RS00600,6035.67,4359.67
IS481_RS00605,3575.83,3329.75
IS481_RS00610,3297.83,1889.08
IS481_RS00615,835.17,365.83
IS481_RS00620,305.0,166.75
IS481_RS00625,5132.92,4684.33
IS481_RS00630,1750.0,1250.83
IS481_RS00635,482.83,416.5
IS481_RS00640,2410.83,1950.33
IS481_RS00645,2072.17,4161.08
IS481_RS00650,320.0,428.83
IS481_RS00655,663.67,678.5
IS481_RS00660,7105.33,5605.33
IS481_RS00665,2008.83,1240.5
IS481_RS00670,2040.0,3305.5
IS481_RS00675,9576.17,10397.17
IS481_RS00680,6048.33,8388.78
IS481_RS00685,1195.5,1741.83
IS481_RS00690,18393.33,14014.0
IS481_RS00695,4824.33,2478.33
IS481_RS00700,1407.33,829.0
IS481_RS00705,3943.17,2958.0
IS481_RS00710,3014.83,2375.83
IS481_RS00715,4310.83,12199.0
IS481_RS00720,3655.5,6875.0
IS481_RS00725,9674.5,7748.92
IS481_RS00730,485.83,398.83
IS481_RS00735,430.5,477.83
IS481_RS00740,1737.17,2111.17
IS481_RS00745,161.5,286.83
IS481_RS00750,1174.0,2264.75
IS481_RS00755,363.0,528.83
IS481_RS00760,1235.83,1087.33
IS481_RS00765,2104.17,1303.33
IS481_RS00770,1312.0,1669.83
IS481_RS00775,32733.0,58727.17
IS481_RS00780,5861.0,9511.33
IS481_RS00785,4634.83,4827.92
IS481_RS00790,12390.83,17175.25
IS481_RS00795,11636.17,17228.17
IS481_RS00800,7129.17,7486.17
IS481_RS00805,11883.75,11203.0
IS481_RS00810,7492.25,13071.33
IS481_RS00815,9326.58,16837.75
IS481_RS00820,4123.17,4385.67
IS481_RS00825,4024.17,3676.5
IS481_RS00830,55825.83,134493.67
IS481_RS00835,2939.5,6233.83
IS481_RS00840,1219.17,2049.75
IS481_RS00845,602.5,1244.2
IS481_RS00850,3832.33,1402.83
IS481_RS00855,1745.5,1418.33
IS481_RS00860,5906.75,4560.33
IS481_RS00865,1878.83,1513.33
IS481_RS00870,2712.5,2505.5
IS481_RS00875,2734.33,1369.33
