id,re_x,re_y
IS481_01350,2533.83,2683.33
IS481_01355,4037.75,2914.83
IS481_01360,4301.5,3550.5
IS481_01365,5029.0,6183.83
IS481_01370,1312.67,1975.67
IS481_01375,1796.67,886.0
IS481_01380,744.42,1094.33
IS481_01385,1640.92,2154.83
IS481_01390,474.67,646.5
IS481_01395,206.67,165.0
IS481_01400,100.5,122.17
IS481_01405,119.0,81.17
IS481_01410,257.0,177.83
IS481_01415,64.0,69.0
IS481_01420,252.0,277.5
IS481_01425,1792.0,1804.83
IS481_01430,659.5,459.17
IS481_01435,1449.0,952.5
IS481_01440,201.83,253.83
IS481_01445,1162.83,1351.33
IS481_01450,426.25,1047.58
IS481_01455,1456.75,2050.75
IS481_01460,3237.0,2024.33
IS481_01465,10954.33,13230.33
IS481_01470,4505.67,1059.83
IS481_01475,1209.33,247.83
IS481_01480,513.17,99.17
IS481_01485,1562.03,637.0
IS481_01490,1854.87,855.33
IS481_01495,106.33,92.33
IS481_01500,237.67,249.5
IS481_01505,179.33,141.5
IS481_01510,138.25,101.0
IS481_01515,28.0,51.0
IS481_01520,77.83,111.17
IS481_01525,122.5,172.33
IS481_01530,57.83,70.25
IS481_01535,72.0,86.67
IS481_01540,749.33,502.5
IS481_01545,1170.5,962.33
IS481_01550,1537.83,6749.17
IS481_01555,1573.0,1371.0
IS481_01560,1303.0,575.5
IS481_01565,671.0,636.0
IS481_01570,560.5,653.33
IS481_01575,926.33,547.75
IS481_01580,496.0,355.17
IS481_01585,282.83,322.5
IS481_01590,159.83,135.83
IS481_01595,182.33,135.17
IS481_01600,108.0,81.0
IS481_01605,111.33,87.33
IS481_01610,1736.5,1583.0
IS481_01615,936.33,519.83
IS481_01620,993.5,849.17
IS481_01625,1382.83,1164.33
IS481_01630,200.5,216.5
IS481_01635,3877.33,2341.5
IS481_01640,633.83,502.67
IS481_01645,5110.5,8130.5
IS481_01650,1987.5,1016.0
IS481_01655,2547.67,974.0
IS481_01660,1522.0,1605.83
IS481_01665,1412.33,1608.17
IS481_01670,2724.67,2109.83
IS481_01675,3065.5,3630.17
IS481_01680,5076.17,3723.67
IS481_01685,4438.33,2588.33
IS481_01690,3034.33,4779.33
IS481_01695,4558.0,7533.17
IS481_01700,13862.83,15246.83
IS481_01705,5476.5,9593.67
IS481_01710,4586.33,4484.17
IS481_01715,3375.0,2126.67
IS481_01720,2960.5,1741.0
IS481_01725,1338.33,758.17
IS481_01730,1988.33,1204.33
IS481_01735,1538.67,1565.0
IS481_01740,4748.67,2806.33
IS481_01745,4223.83,2907.83
IS481_01750,10246.17,9829.0
IS481_01755,1954.5,1590.5
IS481_01760,2209.17,1384.33
IS481_01765,6267.17,3078.5
IS481_01770,8545.75,10023.33
IS481_01775,12925.75,20265.67
IS481_01780,67438.75,267392.5
IS481_01785,591.0,889.83
IS481_01790,647.0,750.0
IS481_01795,999.0,1167.67
IS481_01800,880.17,820.0
IS481_01805,1631.33,1730.08
IS481_01810,1246.0,869.5
IS481_01815,1627.33,2024.5
IS481_01820,1430.0,388.0
IS481_01825,663.5,222.0
IS481_01830,3426.83,3404.75
IS481_01835,18782.0,14868.33
IS481_01840,2109.0,1713.33
IS481_01845,1674.0,1774.67
IS481_01850,438.33,717.17
IS481_01855,473.83,573.33
IS481_01860,1294.83,1582.33
IS481_01865,4778.83,9378.0
IS481_01870,638.5,492.5
IS481_01875,1146.83,541.33
IS481_01880,8740.67,6288.83
IS481_01885,10472.67,9432.0
IS481_01890,2298.5,3448.33
IS481_01895,2507.83,18778.33
IS481_01900,2252.0,2357.5
